
Encoding: task 1 of 2, 0.04 %
Encoding: task 1 of 2, 0.08 %
Encoding: task 1 of 2, 0.09 %
Encoding: task 1 of 2, 0.12 %
Encoding: task 1 of 2, 0.12 %
Encoding: task 1 of 2, 0.15 %
Encoding: task 1 of 2, 0.17 %
Encoding: task 1 of 2, 0.19 %
Encoding: task 1 of 2, 0.20 %
Encoding: task 1 of 2, 0.24 %
Encoding: task 1 of 2, 0.25 %
Encoding: task 1 of 2, 0.27 %
Encoding: task 1 of 2, 0.29 %
Encoding: task 1 of 2, 4.27 % (48.29 fps, avg 50.46 fps, ETA 00h19m59s)
Encoding: task 1 of 2, 4.31 % (48.29 fps, avg 50.46 fps, ETA 00h19m59s)
Encoding: task 1 of 2, 4.33 % (48.29 fps, avg 50.46 fps, ETA 00h19m59s)
Encoding: task 1 of 2, 4.36 % (49.06 fps, avg 50.40 fps, ETA 00h20m00s)
Encoding: task 1 of 2, 4.37 % (49.06 fps, avg 50.40 fps, ETA 00h20m00s)
Encoding: task 1 of 2, 4.41 % (49.06 fps, avg 50.40 fps, ETA 00h20m00s)
Encoding: task 1 of 2, 4.42 % (49.06 fps, avg 50.40 fps, ETA 00h20m00s)
Encoding: task 1 of 2, 4.44 % (49.32 fps, avg 50.39 fps, ETA 00h19m59s)
Encoding: task 1 of 2, 4.48 % (49.32 fps, avg 50.39 fps, ETA 00h19m59s)
Encoding: task 1 of 2, 4.50 % (49.32 fps, avg 50.39 fps, ETA 00h19m59s)
Encoding: task 1 of 2, 4.51 % (48.94 fps, avg 50.38 fps, ETA 00h19m58s)
Encoding: task 1 of 2, 4.52 % (48.94 fps, avg 50.38 fps, ETA 00h19m58s)
Encoding: task 1 of 2, 4.55 % (48.94 fps, avg 50.38 fps, ETA 00h19m58s)
Encoding: task 1 of 2, 4.57 % (48.94 fps, avg 50.38 fps, ETA 00h19m58s)
Encoding: task 1 of 2, 4.59 % (49.07 fps, avg 50.33 fps, ETA 00h19m59s)
Encoding: task 1 of 2, 4.62 % (49.07 fps, avg 50.33 fps, ETA 00h19m59s)
Encoding: task 1 of 2, 4.63 % (49.07 fps, avg 50.33 fps, ETA 00h19m59s)
Encoding: task 1 of 2, 4.67 % (46.90 fps, avg 50.20 fps, ETA 00h20m01s)
Encoding: task 1 of 2, 4.68 % (46.90 fps, avg 50.20 fps, ETA 00h20m01s)
Encoding: task 1 of 2, 4.70 % (46.90 fps, avg 50.20 fps, ETA 00h20m01s)
Encoding: task 1 of 2, 4.72 % (46.90 fps, avg 50.20 fps, ETA 00h20m01s)
Encoding: task 1 of 2, 4.76 % (46.89 fps, avg 50.20 fps, ETA 00h20m00s)
Encoding: task 1 of 2, 4.78 % (46.89 fps, avg 50.20 fps, ETA 00h20m00s)
Encoding: task 1 of 2, 4.81 % (46.89 fps, avg 50.20 fps, ETA 00h20m00s)
Encoding: task 1 of 2, 4.82 % (46.56 fps, avg 50.14 fps, ETA 00h20m00s)
Encoding: task 1 of 2, 4.85 % (46.56 fps, avg 50.14 fps, ETA 00h20m00s)
Encoding: task 1 of 2, 4.87 % (46.56 fps, avg 50.14 fps, ETA 00h20m00s)
Encoding: task 1 of 2, 4.90 % (42.77 fps, avg 49.81 fps, ETA 00h20m07s)
Encoding: task 1 of 2, 4.91 % (42.77 fps, avg 49.81 fps, ETA 00h20m07s)
Encoding: task 1 of 2, 4.93 % (42.77 fps, avg 49.81 fps, ETA 00h20m07s)
Encoding: task 1 of 2, 4.95 % (42.77 fps, avg 49.81 fps, ETA 00h20m07s)
Encoding: task 1 of 2, 4.98 % (41.03 fps, avg 49.71 fps, ETA 00h20m09s)
Encoding: task 1 of 2, 5.00 % (41.03 fps, avg 49.71 fps, ETA 00h20m09s)
Encoding: task 1 of 2, 5.03 % (41.03 fps, avg 49.71 fps, ETA 00h20m09s)
Encoding: task 1 of 2, 5.05 % (44.65 fps, avg 49.85 fps, ETA 00h20m04s)
Encoding: task 1 of 2, 5.08 % (44.65 fps, avg 49.85 fps, ETA 00h20m04s)
Encoding: task 1 of 2, 5.10 % (44.65 fps, avg 49.85 fps, ETA 00h20m04s)
Encoding: task 1 of 2, 5.13 % (49.71 fps, avg 49.81 fps, ETA 00h20m04s)
Encoding: task 1 of 2, 5.14 % (49.71 fps, avg 49.81 fps, ETA 00h20m04s)
Encoding: task 1 of 2, 5.18 % (49.71 fps, avg 49.81 fps, ETA 00h20m04s)
Encoding: task 1 of 2, 5.19 % (49.71 fps, avg 49.81 fps, ETA 00h20m04s)
Encoding: task 1 of 2, 5.22 % (50.18 fps, avg 49.73 fps, ETA 00h20m05s)
Encoding: task 1 of 2, 5.24 % (50.18 fps, avg 49.73 fps, ETA 00h20m05s)
Encoding: task 1 of 2, 5.26 % (50.18 fps, avg 49.73 fps, ETA 00h20m05s)
Encoding: task 1 of 2, 5.28 % (45.93 fps, avg 49.68 fps, ETA 00h20m06s)
Encoding: task 1 of 2, 5.31 % (45.93 fps, avg 49.68 fps, ETA 00h20m06s)
Encoding: task 1 of 2, 5.33 % (45.93 fps, avg 49.68 fps, ETA 00h20m06s)
Encoding: task 1 of 2, 5.36 % (45.93 fps, avg 49.68 fps, ETA 00h20m06s)
Encoding: task 1 of 2, 5.39 % (48.37 fps, avg 49.74 fps, ETA 00h20m03s)
Encoding: task 1 of 2, 5.40 % (48.37 fps, avg 49.74 fps, ETA 00h20m03s)
Encoding: task 1 of 2, 5.43 % (48.37 fps, avg 49.74 fps, ETA 00h20m03s)
Encoding: task 1 of 2, 5.45 % (49.11 fps, avg 49.70 fps, ETA 00h20m03s)
Encoding: task 1 of 2, 5.48 % (49.11 fps, avg 49.70 fps, ETA 00h20m03s)
Encoding: task 1 of 2, 5.49 % (49.11 fps, avg 49.70 fps, ETA 00h20m03s)
Encoding: task 1 of 2, 5.53 % (49.74 fps, avg 49.68 fps, ETA 00h20m02s)
Encoding: task 1 of 2, 5.56 % (49.74 fps, avg 49.68 fps, ETA 00h20m02s)
Encoding: task 1 of 2, 5.58 % (49.74 fps, avg 49.68 fps, ETA 00h20m02s)
Encoding: task 1 of 2, 5.61 % (49.74 fps, avg 49.68 fps, ETA 00h20m02s)
Encoding: task 1 of 2, 5.65 % (53.04 fps, avg 49.88 fps, ETA 00h19m56s)
Encoding: task 1 of 2, 5.66 % (53.04 fps, avg 49.88 fps, ETA 00h19m56s)
Encoding: task 1 of 2, 5.69 % (53.04 fps, avg 49.88 fps, ETA 00h19m56s)
Encoding: task 1 of 2, 5.71 % (53.04 fps, avg 49.88 fps, ETA 00h19m56s)
Encoding: task 1 of 2, 5.73 % (55.31 fps, avg 49.95 fps, ETA 00h19m53s)
Encoding: task 1 of 2, 5.76 % (55.31 fps, avg 49.95 fps, ETA 00h19m53s)
Encoding: task 1 of 2, 5.78 % (55.31 fps, avg 49.95 fps, ETA 00h19m53s)
Encoding: task 1 of 2, 5.80 % (55.31 fps, avg 49.95 fps, ETA 00h19m53s)
Encoding: task 1 of 2, 5.82 % (53.83 fps, avg 49.87 fps, ETA 00h19m54s)
Encoding: task 1 of 2, 5.84 % (53.83 fps, avg 49.87 fps, ETA 00h19m54s)
Encoding: task 1 of 2, 5.88 % (53.83 fps, avg 49.87 fps, ETA 00h19m54s)
Encoding: task 1 of 2, 5.90 % (49.02 fps, avg 49.85 fps, ETA 00h19m54s)
Encoding: task 1 of 2, 5.91 % (49.02 fps, avg 49.85 fps, ETA 00h19m54s)
Encoding: task 1 of 2, 5.94 % (49.02 fps, avg 49.85 fps, ETA 00h19m54s)
Encoding: task 1 of 2, 5.95 % (49.02 fps, avg 49.85 fps, ETA 00h19m54s)
Encoding: task 1 of 2, 5.98 % (44.90 fps, avg 49.73 fps, ETA 00h19m56s)
Encoding: task 1 of 2, 5.99 % (44.90 fps, avg 49.73 fps, ETA 00h19m56s)
Encoding: task 1 of 2, 6.02 % (44.90 fps, avg 49.73 fps, ETA 00h19m56s)
Encoding: task 1 of 2, 6.04 % (44.86 fps, avg 49.67 fps, ETA 00h19m56s)
Encoding: task 1 of 2, 6.06 % (44.86 fps, avg 49.67 fps, ETA 00h19m56s)
Encoding: task 1 of 2, 6.08 % (44.86 fps, avg 49.67 fps, ETA 00h19m56s)
Encoding: task 1 of 2, 6.10 % (43.83 fps, avg 49.61 fps, ETA 00h19m57s)
Encoding: task 1 of 2, 6.12 % (43.83 fps, avg 49.61 fps, ETA 00h19m57s)
Encoding: task 1 of 2, 6.15 % (43.83 fps, avg 49.61 fps, ETA 00h19m57s)
Encoding: task 1 of 2, 6.16 % (43.83 fps, avg 49.61 fps, ETA 00h19m57s)
Encoding: task 1 of 2, 6.20 % (45.80 fps, avg 49.58 fps, ETA 00h19m56s)
Encoding: task 1 of 2, 6.22 % (45.80 fps, avg 49.58 fps, ETA 00h19m56s)
Encoding: task 1 of 2, 6.25 % (45.80 fps, avg 49.58 fps, ETA 00h19m56s)
Encoding: task 1 of 2, 6.27 % (48.64 fps, avg 49.63 fps, ETA 00h19m54s)
Encoding: task 1 of 2, 6.30 % (48.64 fps, avg 49.63 fps, ETA 00h19m54s)
Encoding: task 1 of 2, 6.32 % (48.64 fps, avg 49.63 fps, ETA 00h19m54s)
Encoding: task 1 of 2, 6.34 % (48.64 fps, avg 49.63 fps, ETA 00h19m54s)
Encoding: task 1 of 2, 6.36 % (50.24 fps, avg 49.63 fps, ETA 00h19m53s)
Encoding: task 1 of 2, 6.38 % (50.24 fps, avg 49.63 fps, ETA 00h19m53s)
Encoding: task 1 of 2, 6.41 % (50.24 fps, avg 49.63 fps, ETA 00h19m53s)
Encoding: task 1 of 2, 6.43 % (50.27 fps, avg 49.61 fps, ETA 00h19m53s)
Encoding: task 1 of 2, 6.45 % (50.27 fps, avg 49.61 fps, ETA 00h19m53s)
Encoding: task 1 of 2, 6.46 % (50.27 fps, avg 49.61 fps, ETA 00h19m53s)
Encoding: task 1 of 2, 6.50 % (50.27 fps, avg 49.61 fps, ETA 00h19m53s)
Encoding: task 1 of 2, 6.52 % (47.40 fps, avg 49.54 fps, ETA 00h19m53s)
Encoding: task 1 of 2, 6.54 % (47.40 fps, avg 49.54 fps, ETA 00h19m53s)
Encoding: task 1 of 2, 6.55 % (47.40 fps, avg 49.54 fps, ETA 00h19m53s)
Encoding: task 1 of 2, 6.59 % (46.82 fps, avg 49.52 fps, ETA 00h19m53s)
Encoding: task 1 of 2, 6.61 % (46.82 fps, avg 49.52 fps, ETA 00h19m53s)
